ImageID,Labels
30000.jpg,1
30001.jpg,1 3 15
30002.jpg,1 15 18
30003.jpg,1 16
30004.jpg,1
30005.jpg,1 3 4 6 8
30006.jpg,11 16
30007.jpg,1 3 9
30008.jpg,9
30009.jpg,1
30010.jpg,1 3 8 10 11
30011.jpg,1 3 6 7 8 9 15 17 18 19
30012.jpg,7 10
30013.jpg,1 3 8 15 16
30014.jpg,1 3 6 8
30015.jpg,1
30016.jpg,1 3 6 7 8 10 15
30017.jpg,1 16 17 18
30018.jpg,3 8
30019.jpg,1 3
30020.jpg,1 3 6 8 10 15
30021.jpg,1
30022.jpg,1 16 18
30023.jpg,1
30024.jpg,1 5 7 8 9
30025.jpg,17
30026.jpg,1 2 3 7 8 15 19
30027.jpg,3 6 7 8 10
30028.jpg,1 3 4 6 7 8 15 18 19
30029.jpg,1 4 7
30030.jpg,1
30031.jpg,1 3 5 8
30032.jpg,1 3 15
30033.jpg,1 4
30034.jpg,1 2 18
30035.jpg,1 18 19
30036.jpg,3 6 7 8 9 11 13 15
30037.jpg,1
30038.jpg,1 3 8
30039.jpg,13 16 17 18
30040.jpg,1 3 5 16 19
30041.jpg,16 17 18 19
30042.jpg,1 7 8 15
30043.jpg,1 3 15
30044.jpg,1
30045.jpg,1
30046.jpg,3 11 15 18
30047.jpg,1
30048.jpg,1
30049.jpg,1
30050.jpg,1 3 6 7 9 15
30051.jpg,1
30052.jpg,16
30053.jpg,1 2 3 4 13
30054.jpg,1 4 6 7 8 9 10 11 15 18
30055.jpg,1 3 8 9 15
30056.jpg,1 15
30057.jpg,1 7 8 10 15 16 18 19
30058.jpg,1 6 7 8 10 11
30059.jpg,1
30060.jpg,1
30061.jpg,1 15
30062.jpg,1 3 11 18
30063.jpg,1 3 6 8 10
30064.jpg,1
30065.jpg,1 3 15
30066.jpg,1 15
30067.jpg,1 15
30068.jpg,1 19
30069.jpg,1 3 19
30070.jpg,1
30071.jpg,1 3 4 11 16
30072.jpg,5 7
30073.jpg,1
30074.jpg,1 17
30075.jpg,3 15 17 18
30076.jpg,1 6
30077.jpg,1 3 8 13 16
30078.jpg,1 3 4 7 8 15
30079.jpg,1
30080.jpg,1
30081.jpg,1
30082.jpg,1 2 3 4 13 15
30083.jpg,1 15
30084.jpg,1 2 3 4
30085.jpg,1 3 6 7 10 11 13 15
30086.jpg,1 18
30087.jpg,1 11 13 14
30088.jpg,1 3 8 15
30089.jpg,1
30090.jpg,1
30091.jpg,1 18 19
30092.jpg,1
30093.jpg,1 3 8 10 11 15
30094.jpg,5
30095.jpg,1 9
30096.jpg,1
30097.jpg,1
30098.jpg,1 15
30099.jpg,3 8 10
30100.jpg,1 3 6 7 8 10 15 16
30101.jpg,1 3 8 11 15
30102.jpg,1 9 16 19
30103.jpg,5
30104.jpg,1 16 17 18
30105.jpg,1 15
30106.jpg,1
30107.jpg,1
30108.jpg,1 3 17
30109.jpg,1
30110.jpg,1 17 18
30111.jpg,1 15
30112.jpg,1 3 10 15 16 18
30113.jpg,1 17 18
30114.jpg,1 15
30115.jpg,1
30116.jpg,1 16 19
30117.jpg,15 17
30118.jpg,1 3 4 8
30119.jpg,1 5 9 16
30120.jpg,1 3 4 15 18
30121.jpg,1 2 3 8
30122.jpg,1 4
30123.jpg,1 3 6 15
30124.jpg,1
30125.jpg,1 6
30126.jpg,1 15 17 18
30127.jpg,1
30128.jpg,1 16 19
30129.jpg,1 3 9
30130.jpg,1 3 4
30131.jpg,1 7
30132.jpg,1 10 11 13 15
30133.jpg,1
30134.jpg,1 2 3 4 8 9
30135.jpg,1 6 7 8
30136.jpg,1 17
30137.jpg,1 2 5 15
30138.jpg,1 3 8 11
30139.jpg,3 5 7 8 9 14 15
30140.jpg,1 3 8 11
30141.jpg,1 15
30142.jpg,1
30143.jpg,1 15 19
30144.jpg,1 19
30145.jpg,6 7
30146.jpg,19
30147.jpg,1 16
30148.jpg,1
30149.jpg,1 9
30150.jpg,1 3 6 16
30151.jpg,1
30152.jpg,1 18
30153.jpg,1 3
30154.jpg,10
30155.jpg,1 15
30156.jpg,1
30157.jpg,1 2 6 15 18
30158.jpg,1 3
30159.jpg,1 15 18
30160.jpg,1
30161.jpg,3 5 7 8 9 14
30162.jpg,1 15
30163.jpg,1 3 4 8 15
30164.jpg,1 3 7 8 15
30165.jpg,1 3 5 8 10
30166.jpg,1 17 18
30167.jpg,1
30168.jpg,1
30169.jpg,1 3 7 8 11 13 15
30170.jpg,1
30171.jpg,1 2 3 6 8 10 18
30172.jpg,1 15
30173.jpg,1 15 17 18
30174.jpg,1 7 14
30175.jpg,1 15 16 18
30176.jpg,1 19
30177.jpg,2 5 15 17 18
30178.jpg,1 15
30179.jpg,1 3 8 9 16
30180.jpg,1
30181.jpg,16 19
30182.jpg,1 3 9 15
30183.jpg,1 3 4 15
30184.jpg,1 3 4 6 8 15 19
30185.jpg,1
30186.jpg,1 2 3 4 6 7 8 10 15
30187.jpg,1 17 18
30188.jpg,1
30189.jpg,1 3 8 10
